     1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8   Elo    AED
 53  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 8 6 4 5 * 1 2 3 · · · · · · · · · · · · · · · · · · · · · ·  1778   13.1
 54  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 5 4 1 * 3 2 6 7 · · · · · · · · · · · · · · · · · · · ·  1768   17.0
 55  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 6 2 3 * 1 4 8 7 5 · · · · · · · · · · · · · · · · · ·  1763   19.0
 56  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 3 2 1 * 5 4 6 8 · · · · · · · · · · · · · · · · · ·  1761   18.8
 57  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 6 4 5 * 2 1 3 7 8 · · · · · · · · · · · · · · · ·  1748   18.4
 58  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 8 4 2 * 5 1 3 6 · · · · · · · · · · · · · · · ·  1733   16.5
 59  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 6 1 5 * 4 2 3 8 · · · · · · · · · · · · · · ·  1733   15.1
 60  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 5 8 3 1 4 * 6 2 · · · · · 7 · · · · · · · · · ·  1728   20.5
 61  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 3 2 6 * 1 4 5 8 · · · · · · · · · · · · ·  1726   15.8
 62  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 6 3 2 1 * 5 4 · 7 · · · · · · · · · · · ·  1721   16.8
 63  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 · 4 5 * 1 2 3 7 6 · · · · · · · · · ·  1709   21.6
 64  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 5 4 1 * 3 · 2 · 6 7 · · · · · 8 · ·  1695   50.5
 65  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 · 2 3 * 1 4 5 7 6 · · · · · · · ·  1691   22.8
 66  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 3 · 1 * 6 4 5 2 · 8 · · · · · ·  1688   29.1
 67  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 2 4 6 * 1 3 5 · · 8 · · · · ·  1680   30.3
 68  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 · · 6 · 5 4 1 * 2 3 · · · 8 · · · ·  1671   36.0
